temperture5am,temperture6am,temperture7am,temperture8am,windSpeed5am,windSpeed6am,windSpeed7am,windSpeed8am,humidity5am,humidity6am,humidity7am,humidity8am,gradeWithSec,sector1,sector2,gender_age_interaction_女_17~19歲,gender_age_interaction_女_20~29歲,gender_age_interaction_女_30~39歲,gender_age_interaction_女_40~49歲,gender_age_interaction_女_50~59歲,gender_age_interaction_女_60歲以上,gender_age_interaction_男_17~19歲,gender_age_interaction_男_20~29歲,gender_age_interaction_男_30~39歲,gender_age_interaction_男_40~49歲,gender_age_interaction_男_50~59歲,gender_age_interaction_男_60~69歲,gender_age_interaction_男_70歲以上,sector1_2_total,sector2_pace_change
14.6,14.4,14.1,15.3,3.1,2.5,3.3,2.7,77,80,74,66,4580,219,219,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,438,0
14.6,14.4,14.1,15.3,3.1,2.5,3.3,2.7,77,80,74,66,4606,219,219,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,438,0
14.6,14.4,14.1,15.3,3.1,2.5,3.3,2.7,77,80,74,66,4606,217,218,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,435,1
14.6,14.4,14.1,15.3,3.1,2.5,3.3,2.7,77,80,74,66,4613,212,217,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,429,5
14.6,14.4,14.1,15.3,3.1,2.5,3.3,2.7,77,80,74,66,4695,209,227,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,436,18
14.6,14.4,14.1,15.3,3.1,2.5,3.3,2.7,77,80,74,66,4726,211,228,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,439,17
14.6,14.4,14.1,15.3,3.1,2.5,3.3,2.7,77,80,74,66,4808,233,230,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,463,-3
14.6,14.4,14.1,15.3,3.1,2.5,3.3,2.7,77,80,74,66,4848,227,229,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,456,2
14.6,14.4,14.1,15.3,3.1,2.5,3.3,2.7,77,80,74,66,4950,230,232,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,462,2
14.6,14.4,14.1,15.3,3.1,2.5,3.3,2.7,77,80,74,66,4974,236,237,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,473,1
14.6,14.4,14.1,15.3,3.1,2.5,3.3,2.7,77,80,74,66,4999,233,236,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,469,3
14.6,14.4,14.1,15.3,3.1,2.5,3.3,2.7,77,80,74,66,5032,227,232,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,459,5
14.6,14.4,14.1,15.3,3.1,2.5,3.3,2.7,77,80,74,66,5049,233,236,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,469,3
14.6,14.4,14.1,15.3,3.1,2.5,3.3,2.7,77,80,74,66,5088,239,241,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,480,2
